연관키워드,월간검색수(PC),월간검색수(모바일),월평균클릭수(PC),월평균클릭수(모바일),월평균클릭률(PC),월평균클릭률(모바일),경쟁정도,월평균노출 광고수
씨씨티비,600,"3,480",4.6,55.9,0.78%,1.71%,높음,10
CCTV카메라,"1,000","1,980",13.1,18.8,1.4%,1.03%,높음,8
NVR,"1,210","1,030",2.3,3.3,0.2%,0.34%,높음,8
홈CCTV,810,"3,360",6.3,79,0.8%,2.45%,높음,8
홈캠,"8,980","43,800",82.6,834.4,0.91%,1.81%,높음,8
무선CCTV,"1,730","6,200",17.1,107,1.05%,1.87%,높음,8
IP카메라,"1,680","4,580",6.3,64,0.26%,0.57%,높음,8
CCTV추천,"1,380","4,970",28.6,202.1,2.17%,4.39%,높음,10
현관CCTV,"1,900","10,600",37.6,448.8,2.11%,4.39%,높음,8
보안업체,630,"1,610",13.8,30.2,2.23%,1.95%,높음,10
매장CCTV,260,680,4.2,27.6,1.55%,4.38%,높음,10
스마트폰CCTV,560,"4,190",7.5,140,1.39%,3.54%,높음,8
유플러스CCTV,120,360,1.6,11,1.41%,3.21%,높음,10
DVR,600,880,1.9,4,0.33%,0.48%,높음,8
감시카메라,450,"1,540",8.1,43.5,1.85%,3.02%,높음,8
홈캠추천,910,"4,460",10.6,114.6,1.29%,2.81%,높음,10
CC카메라,220,390,2.1,9.2,0.88%,2.53%,높음,10
클라우드CCTV,30,50,0.6,3,2.02%,5.46%,높음,8
물리보안,110,120,0.4,1.1,0.42%,0.99%,높음,7
국산CCTV,150,550,1.9,19.3,1.13%,3.21%,높음,8
KTCCTV가격,230,990,4.1,60.4,1.84%,6.49%,높음,10
캡스,"10,700","15,700",21.1,100.6,0.22%,0.68%,높음,10
AI카메라,280,740,2.3,4.8,0.88%,0.7%,높음,7
외부CCTV,210,570,3.5,10.5,1.55%,1.77%,높음,8
무선CCTV카메라,150,410,2.5,15.5,1.63%,3.54%,높음,8
홈캠설치,340,"3,080",6.5,128.7,2%,4.54%,높음,10
TAPO,"2,530","4,810",17.8,104.5,0.73%,2.23%,중간,7
CCTV설치업체,250,420,4.3,26.2,1.65%,6.62%,높음,10
CCTV설치비용,450,940,6.1,36.2,1.37%,4.07%,높음,10
중고CCTV,50,50,1.2,2.5,1.85%,5.11%,높음,10
가게CCTV,100,380,1.6,14,1.51%,3.84%,높음,10
소형CCTV카메라,50,180,2.1,4.7,4.21%,2.57%,높음,7
기가아이즈,"2,880","1,310",5.3,15.9,0.21%,1.34%,중간,8
모형씨씨티비,< 10,10,0.2,0,2.44%,-,중간,6
실외CCTV설치,10,40,0,1.3,-,2.8%,높음,10
무선CCTV가격,10,80,0.3,2.5,2.39%,4.24%,높음,7
시시티비,180,670,0.4,11.5,0.24%,1.74%,높음,7
브이스타캠,670,680,2.5,12,0.4%,1.8%,높음,8
홈CCTV설치,20,110,0.7,4.4,3.05%,3.93%,높음,10
무인경비,160,120,3.1,2.8,1.91%,2.42%,높음,10
LG유플러스CCTV,70,140,1.1,4.4,1.42%,3.29%,높음,10
LGU+CCTV,70,120,1.4,4.2,2.06%,3.72%,높음,10
CCTV설치비,60,70,0.3,1.9,0.5%,2.89%,높음,10
홈CCTV추천,20,120,0.3,2.8,1.12%,2.46%,높음,10
KT카메라,40,80,0.4,3,1.06%,3.75%,높음,10
인터넷CCTV,50,140,1.3,10,2.46%,7.3%,높음,10
홈카메라,600,"3,110",6.1,65.3,1.07%,2.09%,높음,8
지능형CCTV,320,200,2.6,3.2,0.79%,1.56%,높음,10
CCTV카메라종류,90,30,0.1,0.5,0.16%,1.25%,중간,7
단독주택CCTV,60,140,1.1,5.4,1.75%,3.49%,높음,10
LGU플러스CCTV,50,160,1.5,5.8,2.64%,3.75%,높음,10
티피링크CCTV,450,"1,140",8.2,34.4,1.79%,3.08%,높음,10
KT텔레캅고객센터,740,"1,580",2.8,12,0.4%,0.81%,중간,8
스카이라이프CCTV,30,110,0.5,5,1.97%,5.16%,높음,9
대구CCTV설치,40,60,0.3,2.6,0.77%,3.57%,높음,10
U+CCTV,40,100,0.5,4.5,1.25%,4.95%,높음,10
실외CCTV,430,"1,340",6,26.8,1.58%,2.2%,높음,8
국산홈캠,470,"2,000",5.3,58.3,1.12%,2.61%,높음,8
엘지유플러스CCTV,60,130,1.6,5.2,2.59%,4.1%,높음,10
농장CCTV,10,30,0.5,0.8,3.85%,2.1%,높음,8
클라우드카메라,10,190,0,1,-,0.63%,높음,8
가정용홈캠,200,740,4,19.3,2.18%,2.26%,높음,8
무선CCTV설치,20,70,0.5,3,1.93%,4.17%,높음,8
시골집CCTV,20,120,0.4,3.8,1.6%,3.28%,높음,10
공장CCTV설치,10,40,0,1.8,-,4%,높음,10
CCTV녹화기,500,860,3.5,9,0.73%,1.13%,높음,8
CCTV8채널,90,210,0.6,2.5,0.68%,1.2%,높음,8
광주CCTV설치,30,40,0,1,-,2.23%,높음,10
FXTCCTV,150,390,6.1,5.8,4.02%,1.62%,중간,7
CCTB,< 10,< 10,0,0,-,-,높음,8
CCTVA/S,< 10,< 10,0,0.3,-,3.13%,높음,3
CCTVAS,30,70,0.2,5,0.67%,6.85%,높음,10
CCTVHDD,130,190,0.3,0.3,0.2%,0.15%,높음,8
CCTV관리업체,10,10,0,0.5,-,3.34%,높음,7
CCTV구매설치,10,20,0.4,0.7,2.36%,3.04%,높음,10
CCTV기둥,60,50,1.1,3.8,1.98%,6.58%,높음,8
CCTV기사,< 10,< 10,0,1,-,10.72%,높음,7
CCTV매장,10,50,0.1,0.5,1.1%,0.93%,높음,7
CCTV방범,< 10,< 10,0,0.3,-,6.67%,높음,7
CCTV부산,< 10,20,0,0.3,-,1.39%,높음,7
CCTV사설,< 10,< 10,0.4,0,7.41%,-,중간,5
CCTV사설업체,< 10,< 10,0,0,-,-,높음,7
CCTV설치가격,40,150,0.7,8.8,1.4%,6.29%,높음,10
CCTV설치대행,< 10,< 10,0.1,0,1.79%,-,높음,7
CCTV설치지원,< 10,< 10,0,0,-,-,높음,3
CCTV설치추천,10,10,0.3,0.8,2.6%,4.69%,높음,7
CCTV설치회사,30,10,0.4,0.8,1.16%,7.5%,높음,7
CCTV시공업체,10,< 10,0.3,0,2.86%,-,높음,7
CCTV실외카메라,< 10,10,0,0,-,-,높음,7
CCTV업체순위,< 10,10,0,0,-,-,높음,7
CCTV연결방법,10,60,0.3,2.5,2.39%,4.12%,높음,7
CCTV추가설치,10,20,0.1,1,1.2%,3.85%,높음,7
CCTV하드디스크,150,330,1,0.8,0.7%,0.24%,높음,8
CCTV핸드폰,< 10,10,0,0,-,-,높음,8
CC카메라설치,10,110,0.5,7.8,4.17%,6.71%,높음,10
IPCCTV설치,10,10,0.3,1,2.28%,9.1%,높음,8
PTZCCTV,20,30,0.5,0.3,2%,0.97%,높음,8
가게CCTV추천,10,60,0.1,2.7,0.67%,5.71%,높음,10
감시용CCTV,10,< 10,0,0,-,-,높음,7
강아지씨씨티비,< 10,40,0,1,-,2%,높음,10
건물CCTV설치,20,50,0.8,1.2,3.34%,2.32%,높음,10
경기광주CCTV,70,520,0.6,0.3,0.96%,0.07%,중간,3
공공기관CCTV,30,20,0,0,-,-,높음,7
구미CCTV설치,< 10,10,0,1.5,-,7.5%,중간,8
구미시CCTV,10,20,0,0,-,-,중간,6
군산CCTV설치,< 10,20,0.4,1,6.13%,5.27%,높음,7
김포CCTV설치,30,50,0,0.3,-,0.47%,높음,10
김포공항CCTV,30,190,1.5,0.4,6.67%,0.26%,낮음,1
단독주택CCTV설치,10,40,0.2,1.8,1.54%,3.65%,높음,10
대구CCTV수리,10,10,0.6,1,5.98%,6.16%,중간,7
대전CCTV설치업체,< 10,10,0.3,1.3,3.45%,8.93%,높음,10
모형CCTV설치,< 10,< 10,0,0,-,-,높음,3
모형CCTV카메라,< 10,10,0,0,-,-,높음,3
무선CCTV설치방법,< 10,20,0.1,0.5,1.79%,2%,높음,7
무인CCTV,10,40,0,0.8,-,1.64%,높음,8
미니CCTV카메라,10,130,0,1,-,0.8%,중간,6
백화점CCTV,10,20,0,0.3,-,1.21%,높음,7
버스CCTV설치,< 10,< 10,0,0,-,-,높음,7
병원CCTV설치,10,10,0,0,-,-,높음,7
부산CCTV수리,10,20,1.1,0.3,12.7%,1.57%,높음,7
부천CCTV수리,< 10,< 10,0,0,-,-,높음,7
분리수거장CCTV,< 10,< 10,0,0,-,-,높음,3
사무실CCTV설치,110,110,1.2,5.4,1.12%,4.5%,높음,10
상가CCTV설치,20,30,0.5,1.4,2%,3.98%,높음,10
성남CCTV,90,670,0.1,1.5,0.13%,0.23%,높음,9
수원CCTV수리,< 10,< 10,0.1,0,3.58%,-,높음,7
실내CCTV설치,10,70,0.7,2.4,4.12%,3.44%,높음,10
실내CCTV추천,10,30,0.1,1,0.84%,3.34%,높음,8
실외용CCTV추천,< 10,20,0,0.8,-,3.85%,높음,7
씨씨티비설치비용,50,480,0.6,28,1.08%,6.15%,높음,10
안면인식CCTV,< 10,10,0,0,-,-,높음,7
안성CCTV설치,10,< 10,0.6,0,3.58%,-,높음,7
안양CCTV설치,< 10,10,0,0.3,-,1.79%,높음,7
업소용CCTV설치,< 10,20,0,2.6,-,9.38%,높음,9
업소용CCTV추천,< 10,20,0,1,-,3.71%,높음,7
옥외CCTV설치,< 10,< 10,0,0,-,-,낮음,0
용산전자상가CCTV,< 10,< 10,0,0,-,-,높음,3
인천CCTV수리,< 10,10,0.3,0.8,9.53%,8.34%,높음,7
전원주택CCTV설치,< 10,10,0.1,1.5,2.39%,8.22%,높음,7
전주CCTV설치,20,70,0,0.8,-,1.16%,높음,10
제주CCTV설치,10,50,0.4,2,2.86%,4%,높음,10
주차장CCTV,70,150,0.2,3.2,0.3%,2.22%,높음,10
창고CCTV설치,10,40,1,2.8,8.34%,7.19%,높음,7
창원CCTV설치,< 10,30,0,1.3,-,4.32%,높음,10
초고화질CCTV,10,30,0.3,1,1.91%,2.71%,높음,7
충북CCTV,< 10,10,0,0,-,-,높음,7
코스트코CCTV,160,770,0.8,9.5,0.48%,1.28%,높음,8
학원용CCTV,< 10,10,0,0.3,-,1.79%,높음,7
현관CCTV설치,60,250,1.4,13.2,2.09%,5.39%,높음,10
화성CCTV설치,< 10,10,0.1,0,1.59%,-,높음,7
가정용감시카메라,30,140,0.5,4.2,1.67%,3.02%,높음,10
집안CCTV,30,220,0.3,8.3,0.76%,3.67%,높음,8
고해상도CCTV,< 10,10,0,0.8,-,4.17%,높음,7
AHDCCTV,20,20,0.1,0,0.63%,-,높음,7
CCTV구매,50,90,1.1,4,1.98%,4.77%,높음,8
CCTV무선,70,140,0.3,1,0.36%,0.71%,높음,8
CCTV종류,70,150,1.1,3.2,1.62%,2.17%,높음,10
고성능CCTV,20,20,0.1,0,0.5%,-,높음,7
열감지CCTV,10,20,0,0.3,-,1.09%,높음,7
와이파이CCTV,170,470,2.3,2.8,1.31%,0.6%,높음,8
유선CCTV,50,120,0.4,1.8,0.67%,1.55%,높음,8
주차장카메라,< 10,10,0,0,-,-,높음,7
IP공유서비스,10,10,0,0,-,-,높음,3
개인사업자카드단말기,110,280,3.5,7,3.73%,2.6%,높음,8
단말기,690,"1,970",2.8,17,0.44%,0.93%,높음,8
무인점포키오스크,10,410,0.9,3.3,5.72%,0.83%,높음,7
사무실캡스,10,10,0.4,0.5,2.69%,5%,높음,9
사업자카드단말기,80,230,0.6,5.3,0.75%,2.5%,높음,8
테이블포스,10,10,0,0.8,-,3%,높음,8
편의점키오스크,< 10,20,0.1,0.5,1.59%,2.78%,높음,7
편의점포스기,30,180,0.7,0.4,2.1%,0.26%,높음,10
풍수해보험,560,770,6.3,23.4,1.22%,3.22%,높음,10
학원카드단말기,30,100,1.1,7,3.44%,6.94%,높음,10
학원키오스크,50,110,2.4,9,4.9%,7.76%,높음,10
학원홈페이지제작,40,20,1.8,3.8,4.19%,11.52%,높음,10
무인매장키오스크,70,80,2.3,4,3.29%,4.6%,높음,10
무선카메라,250,970,1.4,18.8,0.58%,2.06%,높음,8
IPCCTV,200,320,1.6,0.8,0.73%,0.18%,높음,8
400만화소CCTV,20,40,0.4,0.8,2.09%,2.15%,높음,8
CCTV무료설치,30,10,0.4,0.6,1.39%,4.09%,높음,7
아이피CCTV,10,< 10,0,0.5,-,5.56%,높음,7
적외선CCTV카메라,40,20,0.1,0.5,0.3%,1.93%,높음,8
산업용CCTV,50,10,0.1,0,0.29%,-,높음,7
식당CCTV,50,120,0.4,4,0.94%,3.51%,높음,10
돔카메라,210,110,1.1,1.3,0.56%,1.17%,높음,8
CC티비,10,60,0,1.3,-,2.3%,높음,7
가게포스기,10,70,0.1,2,0.77%,2.67%,높음,10
매장포스기,60,60,1.1,2.8,1.84%,4.29%,높음,9
U+지능형CCTV,50,20,1,0.3,1.99%,1.24%,중간,6
U플러스지능형CCTV,< 10,< 10,0.3,0.3,5.56%,7.7%,높음,3
엘지홈카메라,< 10,10,0,0.3,-,1.41%,낮음,0
발룬,110,280,1,5.3,0.87%,1.94%,중간,7
시시티비카메라,30,60,0.4,4.3,1.14%,8.68%,중간,8
HD카메라,20,50,0.1,0.3,0.76%,0.64%,높음,7
학원CCTV,70,160,1.2,4,1.7%,2.34%,높음,10
사업자CCTV,< 10,< 10,0.6,1,11.43%,20%,높음,7
시큐리티,850,"3,180",0.8,5.7,0.1%,0.2%,높음,10
무인매장CCTV,20,60,0.8,2.5,2.76%,3.63%,높음,10
CCTV관리,40,60,0,0.5,-,0.9%,높음,7
CCTV모형,280,940,1.9,13.5,0.69%,1.5%,높음,8
빌라CCTV,40,120,0.3,2.8,0.82%,2.48%,높음,10
CCTVMART,< 10,< 10,0,0,-,-,높음,3
CCTV렌트,< 10,< 10,0,0,-,-,높음,7
화재감지카메라,10,10,0.4,0.3,2.68%,2.28%,높음,7
아이피카메라,70,160,0.1,6.5,0.14%,1.61%,높음,8
회사CCTV,40,90,0.6,0.2,1.17%,0.29%,높음,7
LGU+지능형CCTV,10,< 10,0.3,0,2.09%,-,높음,3
CCTV브라켓,290,300,2.3,4,0.78%,1.35%,높음,8
실시간CCTV,"7,730","24,000",1.1,18.2,0.02%,0.09%,높음,9
복도CCTV,30,110,0.3,1.3,0.91%,1.26%,높음,8
유플러스씨씨티비,10,100,0,2.5,-,2.41%,높음,10
CCTV동축케이블,40,40,0.4,0,0.9%,-,높음,7
CCTV판매업체,50,< 10,0,0,-,-,높음,7
미용실CCTV,< 10,40,0.1,0.9,1.67%,2.03%,높음,10
화재감시CCTV,10,10,1.1,0,5.72%,-,높음,7
소상공인CCTV,10,30,0.7,1,4.92%,3.71%,높음,9
엘지유플러스씨씨티비,10,40,0.1,0.8,1.07%,1.94%,높음,9
CCTV케이블,330,620,0.9,3,0.29%,0.52%,높음,8
감시용카메라,30,30,0,1.5,-,3.85%,높음,8
씨씨티비설치,50,370,0.5,19.2,0.95%,5.03%,높음,10
매장용CCTV,60,100,0.7,3.2,1.15%,3.79%,높음,10
엘지씨씨티비,10,80,0.4,8.3,5.13%,10.72%,높음,10
무선씨씨티비,20,260,0.5,4.3,1.79%,1.61%,높음,8
CCTV설치공사,30,< 10,0.9,0,2.68%,-,높음,7
LGCCTV설치,10,30,0.4,1.8,3.34%,4.73%,높음,10
카페키오스크,130,760,1,26.4,0.74%,3.73%,높음,10
매장CCTV설치,50,90,1.9,3.8,3.56%,4.11%,높음,10
업소CCTV,10,30,0.4,1.4,4.4%,4.38%,높음,9
상가CCTV,70,210,1.1,8,1.45%,3.67%,높음,10
카페CCTV,50,90,1.2,2,2.5%,2.28%,높음,10
NVR녹화기,180,310,1,2.3,0.57%,0.78%,높음,8
시시카메라,40,180,0.2,7.1,0.47%,4.56%,높음,10
부산CCTV설치업체,20,30,1.5,2.2,5%,10.48%,높음,10
사무실씨씨티비,10,30,0.1,0.3,0.74%,0.84%,높음,8
편의점CCTV,10,100,0,0.3,-,0.26%,중간,8
KT캡스,70,140,0.9,9.4,1.34%,5.95%,높음,10
TELECOP,10,30,0,0,-,-,낮음,0
감시카메라설치,10,90,0,4.9,-,5.53%,높음,9
업소용CCTV,60,300,0.7,9,1.19%,3.3%,높음,10
CCTV폴대,290,200,6.4,10,2.37%,5.11%,높음,8
옥외CCTV,60,50,0.8,1.8,1.16%,3.44%,높음,8
LG지능형CCTV,20,10,0.1,0,0.72%,-,높음,7
건물CCTV,20,70,0.3,1.9,1.06%,2.73%,높음,7
사무실CCTV설치비용,10,10,0.4,0.5,2.68%,3.85%,높음,7
MGV,110,240,0,0,-,-,높음,7
MGV보안시스템,10,10,0,0,-,-,중간,2
새콤,260,590,2.9,14.5,1.17%,2.66%,중간,5
유플러스지능형CCTV,30,10,0.1,0.3,0.56%,1.76%,높음,7
CAPS,480,870,0.6,3,0.13%,0.36%,높음,10
CAPSCCTV,10,10,0.7,0.8,3.71%,7.15%,높음,7
CCTV도어락,10,70,0,1.7,-,2.28%,높음,9
CCTV신청,10,40,0,1.3,-,2.91%,높음,7
CCTV캡스,10,20,0.4,2,2.18%,7.41%,높음,10
CCTV현관,10,90,0,2,-,2.05%,높음,8
CCTV홈캠,10,90,0,2.3,-,2.21%,높음,8
가정보안,< 10,10,0,1.5,-,8.83%,높음,7
가정용CCTV설치,20,70,0.1,3.6,0.63%,5%,높음,10
가정용보안,< 10,< 10,0.3,0,7.15%,-,높음,7
가정용실외CCTV,30,30,0.1,0.3,0.37%,0.72%,높음,8
가정용외부CCTV,< 10,30,0,0.5,-,1.79%,높음,8
가정집CCTV,60,170,1.6,9,2.86%,5.02%,높음,10
가정집CCTV설치,10,30,0.4,1.8,4%,5.74%,높음,10
개인CCTV,40,30,0,1,-,2.28%,높음,10
개인CCTV설치,10,20,0.1,1,1.2%,4.35%,높음,7
국산홈CCTV,< 10,40,0,0,-,-,높음,3
녹음되는CCTV,10,50,0,0.8,-,1.32%,높음,8
단독주택캡스,< 10,10,0,0.3,-,2.23%,높음,7
대문CCTV,10,120,0.1,2.5,0.84%,2.32%,높음,8
대문앞CCTV,< 10,10,0,0.3,-,1.93%,낮음,0
도어센서,240,480,0.6,2.5,0.27%,0.54%,높음,8
무선캠,20,80,0,1.3,-,1.71%,높음,8
무인경비시스템,80,30,1.1,1.1,1.42%,3.04%,중간,7
문앞CCTV,90,520,2,22.8,2.11%,4.59%,높음,8
문열림센서,280,"1,010",2,13.8,0.72%,1.46%,높음,8
방범벨,30,70,0,1.3,-,1.69%,높음,8
방범업체,20,50,0.3,1,1.37%,1.97%,높음,7
스마트도어벨,240,620,3.1,7.8,1.34%,1.26%,높음,8
스마트홈캠,40,160,0.5,2.8,1.36%,1.53%,높음,8
실외CCTV카메라,10,50,0.1,0,0.7%,-,높음,8
아파트1층보안,< 10,20,0,0,-,-,높음,8
아파트개인CCTV,< 10,30,0.2,0.3,2.33%,0.87%,중간,5
아파트보안,20,60,0.1,1,0.46%,1.52%,높음,10
아파트캡스,10,50,0.3,3.6,3.45%,7.55%,중간,6
아파트현관CCTV설치,30,90,0.1,3.8,0.36%,3.35%,높음,8
얼굴인식,490,"1,610",1.9,3,0.42%,0.2%,높음,10
오피스텔CCTV,< 10,60,0,0.3,-,0.4%,높음,10
인체감지센서,270,400,2.4,5.8,0.9%,1.46%,높음,8
적외선경보기,10,150,0.3,1.8,1.79%,1.18%,높음,8
집내부CCTV,< 10,10,0.1,0.3,7.15%,2.44%,높음,7
집안CCTV설치,< 10,20,0,0.8,-,3.95%,높음,7
집앞CCTV,90,570,0.6,18,0.69%,3.3%,높음,10
집현관CCTV,10,30,0,2,-,6.9%,높음,8
출입문CCTV,10,50,0.1,1.3,0.74%,2.36%,높음,8
출입문보안,20,30,1,0,4.35%,-,높음,7
출입보안,20,10,0.4,0.7,2.15%,3.23%,높음,7
캡스가격,50,170,0.4,4.8,0.78%,2.61%,높음,10
캡스가정용CCTV,< 10,< 10,0,0,-,-,높음,7
캡스견적,10,20,0.8,2,4.17%,8.34%,중간,8
캡스뷰가드,"3,010",170,3.2,1.3,0.12%,0.77%,높음,9
캡스비용,130,550,2.6,14,2.19%,2.67%,높음,10
캡스설치,30,100,0.3,1.3,0.81%,1.29%,높음,10
캡스요금,20,40,0.2,2.3,1.18%,5.49%,높음,10
캡스지원금,< 10,20,0.5,3.8,7.85%,13.89%,높음,9
캡스할인,10,30,0,0.8,-,2.84%,중간,7
캡스현관,< 10,30,0,0.6,-,2.36%,높음,7
캡스현관CCTV,10,70,0.8,2.3,4.69%,2.75%,높음,8
캡스현관문,< 10,10,0.4,0.5,21.43%,5.27%,높음,7
캡스홈,780,"2,460",7.7,49.8,1.03%,2.14%,높음,9
캡스홈도어,10,60,0.6,1.8,5.72%,2.86%,높음,7
캡스홈이너가드,10,50,0.5,1.3,4.23%,2.21%,중간,6
캡스홈캠,70,250,1,7.3,1.3%,2.68%,높음,7
켑스,90,300,1.5,6.1,1.63%,2.17%,중간,5
현관문도어가드,20,40,0.3,0,1.52%,-,높음,3
현관문방범,10,40,0,0.3,-,0.55%,높음,8
현관문보안,30,140,0,3.5,-,2.29%,높음,10
현관문캡스,< 10,40,0.6,1.3,8.17%,3.48%,높음,7
현관보안카메라,< 10,10,0.3,1,4.77%,6.25%,높음,7
현관씨씨티비,20,170,0.7,6,2.26%,3.66%,높음,10
현관앞CCTV,50,370,0.8,9.2,1.36%,2.72%,높음,10
현관용CCTV,20,60,0.1,2,0.5%,3.64%,높음,8
현관카메라,140,460,1.8,15,1.21%,3.35%,높음,8
현관캠,30,160,0.5,4.5,1.48%,3.15%,높음,8
현관캡스,< 10,40,0,2,-,6.8%,높음,7
홈가드,30,250,0.1,2.8,0.32%,1.13%,높음,10
