연관키워드,월간검색수(PC),월간검색수(모바일),월평균클릭수(PC),월평균클릭수(모바일),월평균클릭률(PC),월평균클릭률(모바일),경쟁정도,월평균노출 광고수
홈시시티비,10,90,0,3,-,3.62%,높음,8
홈씨씨티비,120,660,0.9,19.5,0.71%,3.03%,높음,8
홈카메라추천,50,220,1.3,7,2.61%,3.23%,높음,8
HD-SDI카메라,40,10,0.4,0,1.05%,-,높음,7
무인포스기,20,130,0.8,2.5,2.28%,1.61%,높음,8
주택CCTV,90,270,0.4,10.8,0.43%,3.99%,높음,10
CCTV세트,290,260,1.1,7,0.39%,2.93%,높음,8
아파트현관CCTV,210,950,4,32.8,1.97%,3.54%,높음,8
CCTV폴,80,20,2.4,1.5,3.3%,5.56%,높음,8
CCTV비용,70,270,1.1,8.8,1.55%,3.43%,높음,7
NVR가격,10,10,0.3,0,2.57%,-,높음,3
가정용CCTV가격,10,170,0.3,10.4,2.15%,6.2%,높음,10
핸드폰CCTV,20,130,0.1,0.5,0.53%,0.39%,높음,7
360도CCTV,30,70,1.1,1.3,3.13%,1.96%,높음,8
방범CCTV설치,< 10,< 10,0,0.3,-,4%,높음,7
학원CCTV설치,20,50,0.4,2.6,2%,4.73%,높음,10
돔형카메라,20,10,0.3,0,1.59%,-,높음,7
CCTV가정용,50,90,0.3,3.5,0.5%,3.58%,높음,8
IOTCCTV,10,20,0.1,0.3,0.7%,0.9%,높음,8
LG홈CCTV,10,30,0.2,0,1.39%,-,중간,5
매장CCTV가격,< 10,10,0,1.4,-,12.83%,높음,7
매장CCTV추천,20,40,0.5,1.3,1.67%,2.46%,높음,8
매장인터넷CCTV,< 10,< 10,0,0.3,-,3.23%,높음,7
실내용CCTV,30,70,0.1,1.5,0.34%,2.03%,높음,8
KT씨씨티비,40,190,0.3,5.8,0.74%,3.07%,높음,10
차량용CCTV,60,270,0.4,6.8,0.69%,2.7%,높음,8
CCTV모니터,520,"1,060",2,6.5,0.41%,0.67%,높음,8
화재감지CCTV,30,10,2.4,0,7.36%,-,높음,7
집CCTV,90,410,0.9,11,1.19%,2.84%,높음,10
보안,"2,890","4,830",1.6,6,0.06%,0.13%,높음,10
가정용CCTV추천,60,160,1.9,4.5,3.03%,3.17%,높음,8
CCTV렌탈비용,30,120,0.5,13,1.48%,10.49%,높음,10
감시카메라가격,40,80,0.2,2.8,0.44%,3.72%,높음,10
CCTVDVR,130,100,0.3,0.5,0.19%,0.47%,높음,8
CCTVTJFCL,< 10,< 10,0,0,-,-,높음,7
CCTV돔형,20,< 10,0,0,-,-,높음,7
CCTV세콤,< 10,10,0.7,1.3,11.91%,7.47%,높음,7
CCTV소형,10,40,0,0.8,-,2.09%,중간,6
CCTV창업,10,30,0.9,1,6.57%,3.04%,높음,10
CCTV하우징,40,20,0.1,0,0.27%,-,높음,8
POS업체,10,< 10,0,0.4,-,6.9%,높음,7
S1SMARTVIEWER,20,< 10,0,0,-,-,중간,2
VRN-10003,< 10,< 10,0,0,-,-,낮음,0
VRN-1116,< 10,< 10,0,0,-,-,중간,1
VRN10001,< 10,< 10,0,0,-,-,낮음,0
가평CCTV,50,170,0,0.5,-,0.29%,높음,9
버스CCTV,30,260,0.1,0.8,0.39%,0.31%,중간,8
보안CCTV설치,< 10,< 10,0,0,-,-,높음,7
세콤고객센터,980,"2,790",5,121.6,0.55%,4.71%,중간,3
승강기CCTV,< 10,10,0.4,0.5,4.77%,3.34%,높음,7
씨씨티비카메라,< 10,50,0,2.8,-,5.19%,높음,8
야외CCTV설치,10,50,0.2,1.9,1.36%,4.24%,높음,9
와이파이카메라,110,420,1.3,7.5,1.05%,1.88%,높음,8
외부카메라,20,70,0.4,0.5,2.03%,0.77%,높음,8
웹CCTV,< 10,< 10,0,0.3,-,3.71%,높음,7
웹카메라,210,190,0.4,1,0.19%,0.58%,높음,8
적외선CCTV,30,70,0.1,1,0.4%,1.32%,높음,8
펫카메라,30,210,0.5,3,1.29%,1.37%,높음,8
KT인터넷CCTV,30,100,0.5,5.3,1.57%,5.28%,높음,10
CCTVPOE허브,20,10,0.3,0,1.97%,-,높음,3
CCTV렌즈,20,30,0.1,0,0.39%,-,높음,9
CCTV분할기,< 10,10,0.7,0,13.05%,-,중간,5
CCTV함체,100,40,1.3,2.5,1.23%,5.21%,높음,8
카메라브라켓,150,180,1.3,2,0.89%,1.15%,높음,8
소형CCTV,180,820,0.6,5.5,0.35%,0.61%,높음,8
엘지홈CCTV,< 10,< 10,0,0.3,-,2.78%,낮음,0
CCTV가격비교,70,20,0.5,1.8,0.77%,7.85%,높음,9
고화질CCTV,90,110,0,1.8,-,1.53%,높음,8
CCTV대여,20,40,1.2,2.1,5.72%,4.7%,높음,10
LG유플러스지능형CCTV,10,< 10,0.1,0,1.43%,-,높음,7
실내CCTV,80,230,0.5,3.3,0.6%,1.51%,높음,8
강아지홈CCTV,< 10,30,0,1.5,-,4.42%,높음,8
음식점CCTV,20,50,0,0,-,-,높음,7
CCTV수리,100,250,1.7,6,1.59%,2.51%,높음,10
CCTV수리업체,50,130,1.3,5.9,3.25%,5.36%,높음,10
사무실보안업체,10,10,0.7,1.3,6.5%,6.95%,높음,7
집CCTV설치,10,40,0.7,1.8,6.37%,4.29%,높음,10
인온CCTV,< 10,< 10,0,0.4,-,6.67%,중간,2
원격CCTV,20,50,0,0.5,-,0.85%,높음,7
회사CCTV설치,10,20,0,0.3,-,1.39%,높음,7
파노라마카메라,40,90,0,0,-,-,높음,3
보안CCTV,20,60,0.6,2.6,2.07%,3.67%,높음,10
브이캠,10,10,0,0.9,-,5.56%,중간,1
초소형CCTV,320,"1,700",2.1,33.5,0.74%,2.14%,높음,8
인터넷CCTV설치,10,20,0.6,2.3,5%,8.04%,높음,10
4채널CCTV,80,260,0.5,2,0.6%,0.8%,높음,8
KTCCTV설치,150,430,3.2,19.4,2.14%,4.62%,높음,10
무선CCTV추천,20,40,0.1,2.3,0.47%,5.63%,높음,8
안전관리CCTV,< 10,< 10,0.1,0.5,2.86%,16.67%,높음,7
이동식카메라,60,360,0.2,2.8,0.32%,0.78%,높음,10
CCTV어플,50,330,0,1,-,0.33%,높음,9
사업장CCTV,20,60,0.2,2.2,0.72%,3.61%,높음,10
인공지능CCTV,20,110,0.4,0.3,1.79%,0.23%,높음,7
LGU플러스지능형CCTV,< 10,< 10,0,0,-,-,높음,3
도어CCTV,40,110,0.6,2.3,1.79%,2.14%,높음,8
현관문카메라,60,260,0.8,9.5,1.18%,4%,높음,8
동작감지CCTV,20,50,0,1.3,-,2.29%,높음,8
CCTV가입,10,10,0,0.3,-,1.93%,높음,7
CCTVKT,40,50,0.8,0.5,2.08%,1%,높음,9
아파트CCTV,100,410,0.2,2.5,0.21%,0.65%,높음,10
홈CCTV가격,< 10,50,0,4.2,-,8.3%,높음,10
어린이집CCTV,80,270,0.3,0.2,0.38%,0.09%,높음,10
캡스홈CCTV,40,120,0.6,1,1.47%,0.93%,높음,7
CCTV부자재,10,20,0.3,0.5,2.39%,2.16%,높음,7
원룸CCTV설치,10,70,0.4,4,2.23%,6.16%,높음,10
에스원CCTV설치,< 10,< 10,0.2,0,1.97%,-,중간,6
12V5A,220,180,1.4,2.5,0.67%,1.5%,높음,8
CCTV테스터,< 10,10,0.1,0.5,1.57%,3.34%,높음,8
DVR카드,< 10,< 10,0,0,-,-,높음,3
CCTV전문업체,70,20,0.2,2.3,0.25%,7.76%,높음,10
CCTV경비,< 10,< 10,0,0.3,-,10%,높음,7
S1CCTV,20,20,0.1,2.3,0.65%,9.1%,높음,7
S1보안,10,10,0.5,0.3,4.88%,2.5%,중간,4
세콤가입,< 10,< 10,0,0,-,-,중간,4
세콤경비,20,40,0.4,1.2,1.77%,3.34%,중간,5
에스원가격,20,80,0.3,1.8,1.27%,2.32%,높음,9
에스원가입,< 10,10,0,0.6,-,5.13%,높음,7
에스원비용,20,60,0.5,0,2.26%,-,높음,7
에스원설치,20,30,0.4,0.8,1.83%,2.42%,중간,8
올래CCTV,< 10,< 10,0,0.3,-,5.56%,높음,7
무인감시카메라,30,130,0.2,5.3,0.58%,4.61%,높음,10
창고CCTV,30,40,0.4,1,1.59%,2.95%,높음,7
현관CCTV추천,50,250,0.8,9.3,1.48%,3.96%,높음,8
CCTV견적,70,120,1.8,6,2.47%,5.89%,높음,10
실외용CCTV,70,300,0.8,2,0.99%,0.69%,높음,8
KT기가아이즈,550,450,2.2,10.6,0.44%,2.44%,높음,10
세콤가격,30,110,0.6,4.6,1.67%,4.25%,중간,5
세콤설치,20,50,0.7,2.8,2.84%,6.9%,중간,6
LGUCCTV,10,20,0,1.5,-,6%,높음,7
CCTV업체추천,30,80,0.9,4.6,2.73%,5.17%,높음,10
사무실세콤,10,< 10,0.5,0,5%,-,높음,7
KT시시티비,< 10,20,0,0,-,-,높음,7
실외무선CCTV,60,150,0.3,2.3,0.38%,1.59%,높음,8
올레KTCCTV,< 10,10,0.1,1,4.77%,12.5%,높음,7
세콤비용,120,590,3.5,25,3.06%,4.45%,중간,5
CCTV시공,10,10,0.3,0.3,1.91%,2.09%,높음,7
불꽃감지CCTV,< 10,10,0,0,-,-,높음,3
캡스CCTV가격,10,80,0.2,2.8,1.18%,2.93%,높음,10
CCTV교체,30,50,0.2,1.5,0.63%,2.73%,높음,10
세콤CCTV,250,600,2,20.4,0.8%,3.56%,높음,10
LGUPLUSCCTV,< 10,< 10,0.3,0,5.72%,-,높음,7
KT,"241,200","336,300",67.4,366.6,0.04%,0.13%,높음,10
KTGIGAEYES,90,80,0.3,2.3,0.36%,3.05%,높음,10
방범,280,720,0.1,2.5,0.05%,0.38%,높음,8
LG씨씨티비,< 10,30,0.3,2.3,3.75%,8.04%,높음,10
씨씨티브이,30,50,0,1.8,-,3.5%,높음,7
야외무선CCTV,30,100,1.1,2.5,3.52%,2.46%,높음,8
에스원요금,10,10,0.2,0,1.24%,-,중간,6
외부용CCTV,50,110,0.5,2,1.09%,2%,높음,8
저렴한CCTV,10,10,0.4,0.8,4.29%,4.17%,높음,7
CCTV임대,20,40,0.6,3.2,2.4%,7.81%,높음,10
CCTV판매,100,40,0.3,1.3,0.25%,2.91%,높음,8
사설CCTV,20,30,0.5,1.7,2.64%,5.27%,높음,10
핀홀카메라,100,170,0,4.8,-,2.94%,높음,8
경비업체,320,720,7.3,20.2,2.34%,2.91%,높음,10
CCTV설치하기,< 10,< 10,0,0.3,-,4.17%,높음,8
CCTV카메라설치,30,40,0.3,0.3,0.68%,0.53%,높음,8
주차장CCTV설치,10,30,0.1,2.8,0.9%,9.17%,높음,7
올레CCTV,40,70,0.3,1.5,0.77%,2%,높음,10
태양광CCTV,390,"1,030",4,16,1.06%,1.56%,높음,8
GIGAEYES,350,410,1.1,2.3,0.35%,0.6%,중간,3
에스원안심,30,30,0,0,-,-,높음,3
시스템경비,10,< 10,0.4,0.3,3.58%,3.58%,높음,7
LGU+우리가게,< 10,< 10,0.3,0,11.12%,-,높음,3
자취CCTV,< 10,40,0,0.3,-,0.7%,높음,8
올레씨씨티비,< 10,< 10,0,0,-,-,높음,7
CCTV전용회선,10,< 10,0,0,-,-,높음,3
KTCC,80,70,1,3,1.28%,3.9%,높음,7
KT도어가드,< 10,10,0,0.3,-,1.59%,높음,3
KT텔레캅가입,< 10,10,0.9,0.8,28.58%,5.77%,높음,7
KT텔레캅지문인식기,< 10,< 10,0.3,0,8.34%,-,높음,3
KT텔레캅요금,30,130,0.7,8.9,2.92%,7.43%,높음,10
독거노인CCTV,30,110,0.4,5.2,1.34%,5.14%,높음,10
KT보안카메라,< 10,10,0.1,2.3,2%,13.24%,높음,10
CCTV설치견적,20,20,1,0.8,4%,4.45%,높음,7
경비보안업체,20,30,0.4,0.3,1.58%,0.76%,높음,7
방범카메라,70,150,0.8,3.3,1.08%,2%,높음,8
KT세콤,< 10,20,0,0,-,-,중간,6
KTCCTV결합,< 10,10,0.7,0,33.34%,-,높음,3
CCTV연결,20,70,0.3,0.8,1.3%,1%,높음,7
IOT홈CCTV,< 10,< 10,0,0,-,-,높음,7
올레CCTV텔레캅,10,20,0,0.3,-,1.14%,중간,8
KTCTV,< 10,< 10,0.3,0,5.56%,-,높음,3
LGUPLUS지능형CCTV,< 10,< 10,0.3,0,5.56%,-,높음,3
LG사장님,< 10,< 10,0,0,-,-,낮음,0
부산CCTV,490,"1,420",2.5,11.8,0.57%,0.91%,높음,10
현관문캠,< 10,50,0.1,2,1.25%,4.11%,높음,8
KTCCTV인터넷,10,30,0.7,1,5.11%,4.17%,높음,7
CCTV브랜드,20,50,0,0.5,-,0.99%,높음,7
공장CCTV,50,60,2,1,3.64%,1.54%,높음,7
CCTVIP카메라,10,20,0.1,0.8,1.03%,2.71%,높음,7
네트워크카메라,100,100,0.3,1,0.23%,1.02%,높음,8
KT자가경비,60,110,1.1,8.4,1.68%,6.49%,중간,8
KT텔레캅CCTV,610,"1,020",3.8,26.8,0.65%,2.74%,높음,10
KT올레,"4,140","2,140",0.9,4.4,0.03%,0.23%,높음,10
업장CCTV,< 10,10,0,0.5,-,5.89%,높음,7
현장CCTV,30,40,0.6,0.2,2.05%,0.56%,높음,7
자이뷰,50,20,0.3,0,0.73%,-,높음,3
무인카메라,70,320,1.1,6.6,1.55%,2.17%,높음,10
빌라CCTV설치,30,120,0.5,4.4,1.52%,3.26%,높음,10
카메라설치,30,160,1.5,7,4.06%,4.46%,높음,8
KTOLLEHCCTV,< 10,< 10,0,0,-,-,높음,7
CCTVCAMERA,10,10,0,0.3,-,1.93%,높음,8
CCTVLG,< 10,10,0.8,1.3,10.91%,7.25%,중간,8
CCTV에스원,10,20,0.1,0.5,1.2%,2.54%,높음,7
CCTV인터넷설치,< 10,10,0,1,-,7.41%,높음,7
CCTV화소,60,50,0.1,1.3,0.23%,2.42%,높음,7
LGU플러스보안,< 10,10,0,0.3,-,1.57%,높음,3
고시원CCTV,< 10,10,0,0.3,-,2.28%,높음,7
매장보안,< 10,10,0,0,-,-,높음,7
술집CCTV,< 10,30,0,0,-,-,높음,7
식당CCTV설치,< 10,30,0,3.8,-,10.56%,높음,10
천장CCTV,10,40,0.1,0.8,1.14%,1.75%,높음,8
펜션CCTV,< 10,20,0,0,-,-,높음,7
통신사CCTV,20,70,0.2,4.7,0.77%,6.22%,높음,10
야외CCTV,140,500,1.9,10.8,1.25%,2.24%,높음,8
KTTELECOP,370,380,0.8,4,0.23%,1.11%,높음,10
KT보안,210,330,0.4,3.2,0.25%,1.33%,높음,10
영상보안,10,< 10,0,0.3,-,3.58%,높음,7
KTCCTV렌탈,< 10,10,0.4,1.5,5.36%,11.54%,높음,7
문CCTV,10,90,0.1,2.7,1.03%,3.1%,높음,7
KT가정용CCTV,20,50,0.6,6,3%,10.67%,높음,10
HOMECCTV,< 10,< 10,0.1,0,1.79%,-,높음,7
KT홈CCTV,10,70,0.7,4.5,3.89%,6.53%,높음,10
KT기가아이,< 10,20,0.7,0.5,7.15%,2.78%,높음,7
유플러스지능형,< 10,< 10,0,0.3,-,14.29%,낮음,0
KT홈카메라,10,50,0.4,1.5,3.08%,2.42%,높음,10
KTCCTV설치비용,30,230,1.4,14.7,5.39%,8.68%,높음,10
올레텔레캅,10,10,0.4,0.8,4.77%,6.98%,높음,7
KT텔레캅비용,10,40,0,1.1,-,2.59%,중간,7
KT지능형CCTV,< 10,< 10,0,0,-,-,높음,7
KT방범,10,20,0.9,2,4.5%,7.15%,높음,10
U+우리가게패키지,70,40,2.2,0.6,3.14%,1.38%,중간,8
LG보안업체,< 10,20,0,0.3,-,1.37%,중간,4
4KCCTV,60,110,0.6,2.3,1.06%,1.94%,높음,8
500만화소CCTV,80,150,0.1,3.8,0.15%,2.76%,높음,8
8채널CCTV,50,90,0.1,1.3,0.22%,1.46%,높음,8
CCTV2채널,20,60,0.1,0.5,0.61%,0.81%,높음,7
CCTV4채널,60,200,0.5,1.8,0.77%,0.91%,높음,8
CCTV500만화소,40,60,0.3,1.3,0.6%,2.36%,높음,8
CCTVNVR,140,100,0,0.5,-,0.52%,높음,8
CCTV관제,80,100,0.6,1,0.73%,1.01%,높음,7
CCTV녹화,30,90,0,0.8,-,0.82%,높음,9
CCTV단기렌탈,< 10,< 10,0.3,0,4.77%,-,높음,7
CCTV대리점,< 10,20,0.1,1.8,1.79%,7.3%,높음,7
CCTV보안업체,40,60,1.1,4.6,2.75%,7.08%,높음,10
CCTV비교,< 10,< 10,0.1,0,3.58%,-,높음,7
CCTV사무실,< 10,10,0,0.8,-,4.42%,높음,8
CCTV사양,< 10,< 10,0,0,-,-,높음,7
CCTV설치문의,< 10,10,0.1,1.6,4.77%,15.79%,높음,7
CCTV설치방법,90,210,0.9,8.3,0.93%,4.33%,높음,10
CCTV실외,20,70,0.1,0.3,0.6%,0.32%,높음,8
CCTV야외용,< 10,20,0.1,0.3,4.77%,1.39%,높음,7
CCTV약정,< 10,20,0.6,0.5,6.35%,2.5%,높음,7
CCTV와이파이,20,80,0.8,0.3,3%,0.32%,높음,8
CCTV월사용료,< 10,< 10,0.6,0.3,8.17%,3.58%,높음,7
CCTV유지보수,40,30,0,1.5,-,3.95%,높음,10
CCTV음성,70,200,0.3,0.8,0.4%,0.38%,높음,10
CCTV저장기간,110,560,0,2.8,-,0.51%,높음,10
CCTV패키지,< 10,10,0,0.5,-,4.17%,높음,8
CCTV화질,30,80,0,0,-,-,높음,7
CCTV회사,40,90,0.4,1.8,1.03%,1.69%,높음,10
CC티비설치,< 10,110,0.1,9.2,1.43%,7.74%,높음,10
LG유플러스보안,10,20,0,0,-,-,높음,3
가게보안,< 10,10,0.3,0.5,5.72%,5%,높음,7
가게씨씨티비,< 10,40,0,2.3,-,4.4%,높음,10
가게용CCTV,10,20,0,1,-,5%,높음,8
경비보안,60,110,0,0.8,-,0.68%,높음,10
공동주택CCTV,20,10,0,0,-,-,높음,7
기업CCTV,10,< 10,0,0.3,-,4.17%,높음,7
녹화용CCTV,10,30,0,0,-,-,높음,8
다가구주택CCTV,< 10,< 10,0.6,0.8,11.43%,8.34%,높음,7
다세대주택CCTV,< 10,< 10,0,0,-,-,높음,7
무인점포CCTV,< 10,10,0,0,-,-,높음,7
방범CCTV,80,150,0,1,-,0.68%,높음,10
밭CCTV,< 10,10,0,0,-,-,높음,8
블루투스CCTV,20,110,0.6,2.3,2.28%,2.13%,높음,10
사무실CCTV추천,20,20,0.1,1.5,0.66%,5.56%,높음,8
상가보안,< 10,10,0.1,1.5,14.29%,12.5%,높음,7
상가용CCTV,< 10,< 10,0,0.3,-,6.25%,높음,7
선박CCTV,10,20,0.3,0.5,2.5%,2.28%,높음,8
시골CCTV,10,40,0.3,0.5,1.52%,1.12%,중간,7
시시티브이,50,110,0.3,5.3,0.42%,4.87%,높음,8
씨씨카메라,20,50,0,3.8,-,7.84%,높음,10
씨씨티비업체,10,20,0,0.9,-,3.89%,높음,7
야외용CCTV,50,120,0.4,1.3,0.8%,0.99%,높음,8
어린이집CCTV설치,< 10,10,0.1,0.3,1.43%,1.93%,높음,7
업소용씨씨티비,< 10,20,0.2,1.4,5%,6.15%,높음,10
외부무선CCTV,30,90,0.5,2,1.32%,1.86%,높음,8
원격카메라,50,180,0.2,4,0.45%,2.26%,높음,9
음성녹음CCTV,10,40,0.3,0.8,1.58%,1.6%,높음,10
자가설치CCTV,40,50,0.6,1.5,2.16%,2.47%,높음,8
줌카메라,640,660,0.4,0.8,0.07%,0.12%,높음,10
축사CCTV,10,40,0,1.5,-,3.27%,높음,10
카페CCTV설치,10,10,0,0.5,-,2.64%,높음,7
태양광무선CCTV,30,80,0.4,1.8,1.11%,2.06%,높음,8
폐쇄회로텔레비전,90,100,0,0,-,-,높음,3
학교CCTV,270,650,0,0.8,-,0.11%,높음,10
휴대폰CCTV,10,70,0.1,0,0.7%,-,높음,8
전원주택CCTV,70,100,0.7,3.4,0.88%,3.51%,높음,10
KTCCTV고객센터,180,650,4.7,52.1,2.87%,8.79%,중간,6
CCTV요금,< 10,20,0.5,0.8,9.76%,3.13%,중간,8
외부CCTV설치,30,60,1,2.8,2.86%,3.72%,높음,8
케이티텔레캅CCTV,30,30,0.1,3,0.29%,5.46%,높음,10
음식점포스기,80,100,1.2,2.6,1.37%,2.21%,높음,10
사장마켓,110,150,5.8,9.5,6.42%,6.97%,중간,5
전기차화재예방,50,20,1.6,0.2,2.97%,0.91%,높음,7
유플러스우리가게패키지,60,50,0.8,2.4,1.39%,4.57%,중간,7
KT텔레캅기가아이즈,10,10,0,0,-,-,중간,4
경주CCTV설치,10,20,0.3,1.3,3.34%,4.81%,높음,10
케티텔레캅,< 10,< 10,0,0.3,-,8.34%,높음,7
홈캠KT,< 10,40,0.3,3.5,2.6%,7%,높음,7
사이버보안,640,"1,020",0.6,2.6,0.1%,0.27%,높음,10
KTCCTV요금,30,210,2,17.4,4.77%,7.57%,높음,10
보안회사,140,340,2,3,1.39%,0.88%,높음,10
CCTV서비스,< 10,< 10,0.3,0.8,9.53%,15.79%,높음,7
CCTV저장장치,30,50,0,0,-,-,높음,7
거실CCTV,10,70,0,1.5,-,2.46%,높음,8
CCTV카메라가격,20,140,0.6,8.5,3.13%,7.15%,높음,8
KT감시카메라,< 10,20,0.3,2.5,7.15%,12.5%,높음,7
무인경비업체,50,40,2.2,0.4,4%,1.05%,중간,7
CCTV구입,< 10,10,0,0.8,-,3.58%,높음,7
CCTV셋트,20,30,0.6,1,2.24%,2.64%,높음,8
CCTV제조,< 10,< 10,0.1,0,3.58%,-,높음,7
사무실경비,10,10,0.1,0,1.59%,-,높음,7
사무실용CCTV,10,20,0,0,-,-,높음,7
사업장CCTV설치,10,20,0.6,0,3.18%,-,높음,7
세콤견적,10,10,0.5,0.7,3.27%,5.72%,중간,6
유플러스보안,10,40,0,0,-,-,높음,3
CCTV클라우드,20,30,0.5,1.8,1.93%,5.31%,높음,8
홈도어가드,10,40,0.3,0.8,1.91%,2.03%,높음,7
KTCCTV비용,10,30,0.1,2.3,0.84%,5.65%,높음,10
CCTV거치대,190,690,2.6,3.3,1.51%,0.52%,높음,8
